"PID","CWV","ZSB","copri","infl_prestige","infl_dominance","rel_prestige","rel_dominance","self_prestige","self_dominance","TOPS_coer","TOPS_coll","care_rel","care_infl","tradeoff","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","ZSB_1","ZSB_2","ZSB_3","ZSB_4","ZSB_5R","ZSB_6R","ZSB_7","ZSB_8R","copri_1R","copri_2R","copri_3R","copri_4","exp_infl_1","exp_infl_3","exp_infl_5R","exp_infl_7","exp_infl_10","exp_infl_13","exp_infl_15","exp_infl_2","exp_infl_4","exp_infl_6","exp_infl_8","exp_infl_9R","exp_infl_11","exp_infl_12R","exp_infl_14","exp_infl_16","exp_rel_1","exp_rel_3","exp_rel_5R","exp_rel_7","exp_rel_10","exp_rel_13","exp_rel_15","exp_rel_2","exp_rel_4","exp_rel_6","exp_rel_8","exp_rel_9R","exp_rel_11","exp_rel_12R","exp_rel_14","exp_rel_16","self_1","self_3","self_5R","self_7","self_10","self_13","self_15","self_2","self_4","self_6","self_8","self_9R","self_11","self_12R","self_14","self_16","TOPS_coer_1","TOPS_coer_2","TOPS_coer_3","TOPS_coer_4","TOPS_coer_5","TOPS_coer_6","TOPS_coer_7","TOPS_coer_8","TOPS_coer_9","TOPS_coer_10","TOPS_coll_1","TOPS_coll_2","TOPS_coll_3","TOPS_coll_4","TOPS_coll_5","TOPS_coll_6","TOPS_coll_7","TOPS_coll_8","TOPS_coll_9","TOPS_coll_10","rel_care","rel_bother","infl_care","infl_bother","elg","att_1","att_2","age","employment","race","gender","income","edu","feedback"
88,1.6,2.5,4.25,6.14285714285714,2.55555555555556,6.28571428571429,1.44444444444444,5.42857142857143,2,2.5,5.7,5,3,2,2,1,1,1,1,4,1,1,2,2,1,3,3,1,3,5,3,1,3,5,4,5,7,3,7,6,6,7,7,4,1,4,2,2,1,5,2,2,7,5,7,7,5,6,7,2,1,1,2,1,1,3,1,1,7,6,7,6,4,3,5,5,1,1,2,1,1,5,1,1,1,3,2,2,2,2,1,1,5,6,5,5,6,5,7,7,3,7,6,6,5,5,3,3,1,1,1,37,"Full-time","white","man","$120,001-$140,000","4yearColl","No additional comments at this time."
89,1.9,2.625,5.5,6,1.22222222222222,6,1,4.57142857142857,1.22222222222222,1.6,6,1.5,1,2,3,2,1,1,1,1,1,1,3,5,2,2,2,2,1,6,2,4,7,7,7,1,7,1,7,7,6,7,7,1,1,1,1,1,1,3,1,1,7,1,7,7,6,7,7,1,1,1,1,1,1,1,1,1,5,1,7,5,4,4,6,1,1,1,1,2,1,2,1,1,1,2,1,2,1,3,2,1,2,1,7,7,5,6,7,6,7,4,5,6,2,1,1,1,1,1,1,NA,"Full-time","white","man","$40,001-$60,000","GED",""
90,4.1,5.375,3.5,6.85714285714286,4.33333333333333,6.85714285714286,1.77777777777778,2.28571428571429,1.77777777777778,2.9,5.4,4.5,1,3,6,4,2,2,4,6,6,5,3,3,4,5,6,5,6,6,7,4,6,3,2,3,7,6,7,7,7,7,7,5,6,3,6,5,3,6,3,2,7,6,7,7,7,7,7,2,1,1,1,3,2,4,1,1,2,4,5,2,1,1,1,1,2,4,1,1,1,1,1,4,2,3,2,2,3,3,4,1,3,6,5,5,5,5,3,6,7,6,6,6,4,5,1,1,1,1,1,28,"Full-time","asian","woman","$80,001-$100,000","4yearColl","None"
91,4.2,3.5,3.25,6.85714285714286,2.55555555555556,6.14285714285714,2.22222222222222,7,2.66666666666667,1,7,3,3,1,5,3,6,5,4,7,1,6,1,4,5,4,5,4,1,3,5,1,3,1,3,6,7,7,6,7,7,7,7,3,1,2,3,1,3,6,1,3,7,3,5,7,7,7,7,2,1,1,2,2,2,5,1,4,7,7,7,7,7,7,7,4,1,1,1,7,1,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,3,3,3,3,1,1,1,33,"Full-time","black","man","$100,001-$120,000","4yearColl",""
92,1.3,2,6.75,7,1.44444444444444,6.57142857142857,1.22222222222222,5,1,1.2,6.9,5,1.5,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,7,7,7,6,7,7,7,7,7,7,7,1,1,1,1,2,1,4,1,1,7,4,7,7,7,7,7,1,1,1,1,2,1,2,1,1,5,5,7,5,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,7,7,7,7,7,7,7,7,7,6,5,5,2,1,1,1,1,33,"Full-time","white","woman","$20,001-$40,000","4yearColl",""
93,2.6,2.375,4.25,6.42857142857143,2,6.42857142857143,1.44444444444444,5.57142857142857,1.11111111111111,4,6.9,5,1,1,5,3,1,2,1,5,2,2,3,2,2,3,2,2,4,2,2,2,4,5,4,4,7,3,7,7,7,7,7,2,1,1,2,2,1,7,1,1,7,3,7,7,7,7,7,1,1,2,2,2,1,2,1,1,6,5,7,6,5,6,4,1,2,1,1,1,1,1,1,1,3,3,4,3,4,3,5,5,3,7,7,7,7,7,7,7,7,7,7,6,5,5,1,1,1,1,1,39,"Part-time","white","woman","$140,001-$160,000","4yearColl","great study, thanks!"
94,3.2,2.5,4,5.85714285714286,4.88888888888889,5.28571428571429,2,3.71428571428571,2.88888888888889,5.3,4.1,2.5,2,4,5,2,2,2,3,5,2,1,5,5,2,2,2,3,2,2,5,2,5,5,3,3,6,5,6,6,6,5,7,7,5,6,6,5,3,6,4,2,6,3,5,6,5,6,6,1,2,1,2,4,2,2,1,3,4,4,4,4,3,4,3,3,3,1,3,3,3,3,4,3,6,5,6,6,4,5,6,5,4,6,5,3,5,3,2,5,5,4,6,3,3,2,2,2,1,1,1,36,"Full-time","white","woman","$60,001-$80,000","4yearColl",""
95,3.9,3.375,4,5.85714285714286,4,6.28571428571429,2.77777777777778,3.28571428571429,3,5.2,5,3,1.5,4,5,3,6,4,2,4,3,5,4,3,3,4,3,5,3,3,4,2,4,3,4,5,7,7,7,6,6,3,5,6,4,3,6,4,4,4,3,2,7,7,7,6,5,6,6,4,1,3,2,4,4,4,2,1,3,3,5,3,4,3,2,3,4,2,4,2,4,3,1,4,4,5,6,6,5,5,6,4,7,4,5,4,4,5,6,5,6,5,7,3,3,3,1,2,1,1,1,38,"Full-time","asian","woman","Over $200,000","MA",""
96,2.8,2.25,3.75,6.28571428571429,6,6.42857142857143,3.66666666666667,6,4.11111111111111,5.4,4.7,5,2.5,2,3,4,4,3,3,3,2,1,2,3,2,2,5,2,2,2,1,2,3,5,3,4,6,6,7,4,7,7,7,7,4,6,7,6,7,7,6,4,5,6,6,7,7,7,7,3,3,2,3,6,7,5,3,1,6,6,7,7,5,6,5,5,5,5,1,5,7,6,1,2,5,5,5,5,5,6,5,6,5,7,6,5,5,5,5,5,5,3,5,3,5,5,3,2,1,1,1,27,"Part-time","multiracial","man","$20,001-$40,000","4yearColl",""
97,2.2,2,5.25,6,6,5.71428571428571,1.33333333333333,3.42857142857143,1.33333333333333,3.8,4.5,4,1,1,2,2,2,2,1,2,2,1,3,5,2,2,2,2,2,2,2,2,6,6,6,3,7,5,7,7,5,5,6,6,6,7,7,7,6,7,7,1,6,5,6,7,5,5,6,1,1,1,1,2,1,3,1,1,4,4,5,2,3,3,3,1,1,1,1,1,1,2,1,3,3,5,5,3,3,3,3,5,3,5,5,3,5,4,3,5,5,5,6,4,4,4,1,1,1,1,1,22,"Full-time","white","woman","$60,001-$80,000","4yearColl",""
98,3.5,5.125,3,7,5.33333333333333,6.28571428571429,2.33333333333333,6.57142857142857,4.11111111111111,4,5.5,5,2.5,2,5,3,3,5,1,3,2,2,6,5,5,6,5,3,5,6,6,5,3,3,3,3,7,7,7,7,7,7,7,6,5,6,5,6,6,6,7,1,7,5,7,6,6,6,7,3,2,3,1,3,3,3,2,1,7,7,7,7,7,7,4,5,5,7,3,3,7,5,1,1,1,2,6,3,2,3,5,6,7,5,6,5,7,6,5,6,6,5,6,3,5,5,3,2,1,1,1,24,"Part-time","white","woman","$120,001-$140,000","4yearColl",""
99,2.5,3.5,2.75,6.28571428571429,2.33333333333333,6.42857142857143,1.55555555555556,4,1.44444444444444,5.2,4.6,3,1,2,5,4,3,1,2,4,1,1,1,3,3,4,3,3,5,1,6,3,3,4,2,2,7,5,6,7,6,7,6,3,1,3,2,4,2,2,3,1,7,5,7,7,6,7,6,2,1,1,2,2,1,3,1,1,4,3,6,3,4,4,4,1,1,1,1,2,1,2,1,3,5,6,6,6,5,4,5,6,4,5,4,4,4,5,4,6,5,6,5,3,3,3,1,1,1,1,1,32,"Full-time","white","man","$20,001-$40,000","4yearColl",""
100,2.5,4.625,4,7,1.33333333333333,6.57142857142857,1.33333333333333,6.28571428571429,2.11111111111111,5.4,3.2,4.5,4,2,5,3,1,1,1,5,2,1,3,3,5,5,5,5,2,5,5,5,3,7,3,3,7,7,7,7,7,7,7,2,1,1,1,2,1,2,1,1,7,6,7,7,6,6,7,1,1,1,1,2,1,3,1,1,7,6,7,6,7,5,6,4,1,1,2,4,1,4,1,1,6,7,6,5,1,5,6,6,5,7,1,1,2,1,1,7,5,6,6,2,4,5,4,4,1,1,1,46,"Full-time","white","woman","$180,001-$200,000","2yearColl",""
101,2.7,1.75,2.5,6.42857142857143,1.22222222222222,6.42857142857143,1.22222222222222,4.85714285714286,2.66666666666667,1.4,6.9,5,2.5,4,5,2,3,4,1,5,1,1,2,3,3,3,2,2,1,1,1,1,1,1,2,6,7,3,7,7,7,7,7,2,1,1,1,1,1,2,1,1,7,3,7,7,7,7,7,2,1,1,1,1,1,2,1,1,3,5,4,5,6,5,6,4,6,1,4,1,1,5,1,1,1,1,1,1,1,1,1,1,2,4,7,7,7,7,7,7,7,6,7,7,5,5,3,2,0,1,0,51,"Full-time","hispanic","man","$40,001-$60,000","2yearColl",""
102,3.3,2.25,2.75,6.42857142857143,2.22222222222222,5.57142857142857,2.33333333333333,6.71428571428571,2.22222222222222,3.3,4.3,3,3,3,5,6,1,1,4,3,4,1,4,4,3,2,2,2,2,3,2,2,2,2,2,5,7,5,7,7,7,6,6,2,1,2,2,4,2,4,1,2,5,4,6,6,6,6,6,2,1,3,1,4,2,4,1,3,7,7,7,7,7,7,5,1,2,3,2,2,4,1,2,3,3,5,5,2,2,2,4,3,2,5,5,4,6,3,4,2,2,5,6,6,3,3,4,2,1,1,1,37,"Full-time","white","man","$100,001-$120,000","GED",""
103,3.9,4.125,3.5,6.57142857142857,3.22222222222222,6.85714285714286,3.22222222222222,5.14285714285714,3.22222222222222,4.2,6,4.5,3,4,5,3,3,4,3,5,2,4,5,5,5,4,4,4,4,4,4,4,3,4,3,4,7,6,6,7,6,7,7,4,3,4,3,2,4,6,1,2,7,7,6,7,7,7,7,6,3,3,3,1,3,6,2,2,5,5,5,5,6,6,4,4,4,2,3,2,3,6,2,3,4,4,4,4,4,4,4,3,5,6,5,6,6,6,7,6,6,6,6,6,4,5,3,3,1,1,1,32,"Full-time","black","man","$100,001-$120,000","MA",""
104,2.8,1.5,4.5,6.57142857142857,2.22222222222222,6.57142857142857,2.44444444444444,5.57142857142857,3.66666666666667,2.3,5.2,4,1.5,2,3,3,2,3,2,3,2,3,4,3,1,3,1,2,1,1,2,1,5,5,5,3,7,7,5,7,6,7,7,3,1,4,1,4,1,4,1,1,7,6,5,7,7,7,7,3,1,3,3,3,1,4,2,2,6,6,5,5,6,5,6,5,4,5,1,3,3,3,6,3,3,1,2,2,1,1,5,2,1,5,6,5,5,5,4,5,5,5,7,5,4,4,1,2,1,1,1,54,"Full-time","white","man","Over $200,000","PHD",""
105,2.3,2.125,1,6.14285714285714,1,6.28571428571429,1,6,1.44444444444444,5.2,3.1,5,1.5,2,4,1,1,1,1,7,1,1,3,3,1,1,2,2,7,2,1,1,1,1,1,1,7,1,7,7,7,7,7,1,1,1,1,1,1,1,1,1,7,2,7,7,7,7,7,1,1,1,1,1,1,1,1,1,5,7,7,5,5,6,7,1,2,1,2,1,1,2,1,2,5,6,6,5,6,5,5,3,6,5,3,3,3,1,3,7,5,2,2,2,5,5,2,1,1,1,1,29,"Full-time","white","man","$60,001-$80,000","GED","While the current system in my opinion has the most forceful and manipulative people at the top, it should be the weak who lead.  The ones at the top should be most willing to help and be experts who share their knowledge.  Life shouldn't be such a competition but rather a collaborative effort."
106,2.6,2.875,5,5.42857142857143,2.44444444444444,5.42857142857143,2.66666666666667,5,2.11111111111111,3,6,3.5,1,1,2,6,2,2,2,2,2,2,2,4,3,2,4,3,6,2,2,1,6,6,3,5,6,4,5,5,6,6,6,2,2,2,4,2,2,3,2,3,6,3,5,6,6,6,6,3,1,2,3,4,2,4,2,3,6,3,6,6,4,5,5,2,2,2,2,3,1,4,1,2,2,2,3,2,2,2,5,4,3,5,6,6,6,6,6,6,6,6,6,6,4,3,1,1,1,1,1,47,"Part-time","multiracial","woman","$40,001-$60,000","GED",""
107,3.7,2.25,4,5.14285714285714,1.88888888888889,5.14285714285714,2,3.85714285714286,2,2.6,5.6,2,1,2,4,4,2,3,3,4,3,3,5,6,2,2,2,2,4,2,2,2,4,5,4,3,6,3,5,6,5,5,6,2,2,2,2,2,2,2,1,2,6,4,4,5,6,5,6,2,2,2,2,2,2,2,2,2,4,4,5,2,4,3,5,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,4,3,2,6,6,6,6,6,6,6,5,6,3,2,2,1,1,1,1,1,NA,"Full-time","white","man","$0-$20,000","2yearColl",""
108,2.3,2.625,6.25,5.57142857142857,2.33333333333333,6.42857142857143,1.88888888888889,3.14285714285714,1,3.7,5.5,1,1,3,3,3,2,2,1,3,2,2,3,2,2,2,2,2,4,2,5,2,6,6,7,6,4,4,6,6,6,7,6,2,2,5,3,1,3,2,2,1,7,6,6,7,6,6,7,2,1,3,2,2,2,2,2,1,4,4,7,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,2,4,4,4,5,5,5,7,6,3,3,6,6,6,6,7,5,1,1,1,1,1,1,1,42,"Part-time","white","woman","$120,001-$140,000","MA",""
109,2,2.25,3.25,6,2.33333333333333,5.85714285714286,2,6,1,2.3,6.8,5,1,1,3,1,1,1,1,6,1,4,1,1,1,4,1,1,2,1,7,1,3,1,2,7,7,4,7,7,6,4,7,1,1,1,1,7,1,7,1,1,6,6,7,5,5,6,6,1,1,1,4,1,1,7,1,1,7,1,7,6,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,4,7,7,7,7,7,7,7,6,7,6,5,5,1,1,1,1,1,61,"Full-time","white","woman","$140,001-$160,000","4yearColl",""
110,3.1,5.25,4,6.71428571428571,2.88888888888889,6.71428571428571,1.44444444444444,6.57142857142857,1.66666666666667,4.6,4.9,5,1.5,2,5,4,2,2,2,6,1,3,2,4,5,5,5,6,6,6,5,4,3,5,3,5,7,6,7,7,6,7,7,5,1,2,5,4,2,4,2,1,7,5,7,7,7,7,7,1,1,2,1,4,1,1,1,1,7,7,7,7,6,6,6,2,2,2,3,2,1,1,1,1,4,5,6,5,2,5,5,4,4,6,5,5,6,4,5,6,5,6,4,3,5,5,2,1,1,1,1,37,"Full-time","white","man","$40,001-$60,000","4yearColl",""
111,2.5,2.375,3,6.71428571428571,1.44444444444444,6.28571428571429,1,6,1.77777777777778,3.3,4.6,4,2.5,2,2,2,2,2,3,2,2,1,3,6,2,2,2,2,5,2,2,2,3,3,3,3,7,5,7,7,7,7,7,1,1,1,1,3,1,3,1,1,7,3,7,7,7,6,7,1,1,1,1,1,1,1,1,1,7,6,4,7,6,6,6,3,1,1,1,1,1,4,1,3,3,3,5,4,2,2,4,3,2,5,6,5,3,6,6,6,5,3,3,3,4,4,3,2,1,1,1,23,"Full-time","white","woman","$40,001-$60,000","GED",""
112,4.3,3.875,4.25,5.28571428571429,4.66666666666667,4.71428571428571,4.55555555555556,5.14285714285714,4.33333333333333,4.8,5.9,4,3,4,6,4,5,5,4,6,4,5,2,2,2,5,5,3,5,4,4,3,4,5,3,5,5,4,5,5,6,7,5,4,5,3,6,5,5,4,6,4,4,4,4,5,6,5,5,6,6,5,6,5,3,3,5,2,7,5,6,4,4,5,5,5,5,3,4,5,5,6,4,2,6,6,4,6,5,4,5,3,5,4,7,5,7,5,7,6,5,6,5,6,3,5,2,4,1,1,1,54,"Full-time","white","woman","$20,001-$40,000","4yearColl","no"
113,4.3,4.25,2.75,5.42857142857143,4.66666666666667,4.57142857142857,4,6.14285714285714,5,4.4,4.5,3,4,4,6,1,6,5,3,6,3,6,5,2,5,6,5,6,2,2,6,2,2,2,1,6,6,6,4,6,5,5,6,6,5,6,5,3,4,4,4,5,4,5,2,5,6,6,4,5,5,4,5,2,4,2,6,3,6,7,6,6,7,7,4,6,5,6,4,4,5,6,4,5,2,5,5,5,5,6,5,3,2,6,6,6,4,2,3,5,6,4,3,6,2,4,4,4,1,1,1,29,"Full-time","white","man","$80,001-$100,000","4yearColl",""
114,2.3,4,4.75,7,4.44444444444444,6.57142857142857,3.33333333333333,3.85714285714286,1.88888888888889,3.1,4.9,4.5,2,2,2,6,1,2,1,3,2,1,2,3,3,3,5,5,7,2,5,2,3,6,5,5,7,7,7,7,7,7,7,7,2,3,6,6,5,6,3,2,7,5,7,7,6,7,7,3,3,2,5,5,3,6,2,1,5,5,4,4,2,4,3,2,3,1,1,1,3,4,1,1,2,5,2,2,1,2,3,5,3,6,6,2,5,2,5,5,6,7,6,5,4,5,2,2,1,1,1,29,"Part-time","white","man","$20,001-$40,000","GED",""
115,3.5,4.125,3,6,1.22222222222222,6,1.11111111111111,5.28571428571429,2.66666666666667,4.1,6.4,4,2.5,4,4,3,3,5,3,5,3,3,2,4,4,5,5,5,3,3,5,3,2,2,3,5,7,5,7,7,6,6,4,2,1,1,1,1,1,2,1,1,6,6,7,6,6,7,4,1,1,2,1,1,1,1,1,1,5,5,6,5,5,5,6,5,5,1,2,1,2,5,2,1,3,6,6,2,1,5,1,5,5,7,6,7,6,5,6,7,7,7,7,6,4,4,3,2,1,1,1,30,"Part-time","black","woman","$100,001-$120,000","4yearColl",""
116,2.4,4.375,3.25,6.14285714285714,3,6.14285714285714,1.88888888888889,4.57142857142857,2,5.9,4.8,5,2,2,2,1,2,2,3,6,1,2,2,3,5,5,4,5,4,2,6,4,3,3,3,4,7,2,6,7,7,7,7,2,1,1,1,4,6,4,6,2,7,2,6,7,7,7,7,1,1,1,1,4,2,4,1,2,5,5,5,5,5,5,2,2,2,2,2,2,1,2,1,4,6,6,6,4,6,5,7,6,7,6,5,4,5,4,4,6,5,5,6,4,5,5,2,2,1,1,1,69,"Part-time","white","woman","$80,001-$100,000","4yearColl",""
117,2.3,2.5,6.25,6.85714285714286,4.33333333333333,6.42857142857143,1.77777777777778,5.71428571428571,1.66666666666667,2.3,6,5,2.5,2,3,3,2,2,2,2,2,1,3,3,2,2,2,2,1,3,5,3,5,7,6,7,7,6,7,7,7,7,7,5,2,6,6,5,4,5,5,1,7,4,7,7,6,7,7,1,1,1,2,3,2,4,1,1,6,6,6,6,4,6,6,3,1,1,2,2,1,3,1,1,1,2,2,2,1,2,2,2,3,6,7,7,6,5,7,6,5,6,6,5,5,5,3,2,1,1,1,21,"Full-time, Student","white","woman",NA,"4yearColl",""
118,3.1,4.75,4,6.42857142857143,2.11111111111111,6,2,6.57142857142857,2.11111111111111,4.6,4.9,3.5,3,2,1,3,3,5,2,4,2,2,5,4,4,5,4,5,6,4,6,4,4,7,2,3,7,4,7,7,6,7,7,2,1,1,3,2,4,3,2,1,7,4,7,7,4,6,7,2,2,2,2,3,3,2,1,1,7,7,6,6,7,6,7,2,3,1,2,2,2,4,1,2,5,4,5,4,5,5,5,3,3,7,7,7,5,2,6,3,6,4,6,3,3,4,3,3,1,1,1,43,"Full-time","multiracial","woman","$80,001-$100,000","GED","n/a"
119,2.2,5.375,4.5,7,4.55555555555556,5,1.88888888888889,5.14285714285714,3.33333333333333,6.3,4.5,4.5,3.5,2,1,3,1,1,4,2,2,1,3,4,6,5,5,6,4,6,5,6,5,6,3,4,7,7,7,7,7,7,7,5,5,4,5,6,5,6,4,1,4,3,7,6,5,6,4,2,2,1,1,5,1,3,1,1,5,4,7,5,5,5,5,4,4,3,3,5,4,5,1,1,7,5,7,7,5,7,6,5,7,7,7,3,3,4,2,3,7,5,5,6,4,5,3,4,1,1,1,36,"Full-time","multiracial","woman","$80,001-$100,000","4yearColl",""
120,2.9,5.375,4.25,5.42857142857143,3.44444444444444,5.14285714285714,3.11111111111111,4.71428571428571,3.11111111111111,4.4,3.1,3.5,2,4,5,5,2,1,3,5,2,1,3,2,5,6,5,5,7,6,6,3,4,5,6,2,6,4,6,6,5,6,5,3,3,4,3,4,3,4,4,3,5,4,5,5,5,6,6,3,2,3,3,4,2,5,4,2,4,5,4,4,6,4,6,4,3,3,3,3,1,4,4,3,3,5,5,5,3,5,3,4,5,6,3,2,5,3,2,2,3,4,4,3,4,3,2,2,1,1,1,43,"Full-time","white","man","$80,001-$100,000","4yearColl",""
121,3.6,4.25,2.25,6.85714285714286,3.33333333333333,6.42857142857143,2.55555555555556,5.14285714285714,2.88888888888889,4.5,5.1,4.5,3.5,2,5,1,3,5,1,6,3,2,5,5,4,4,3,6,4,3,6,4,1,2,2,4,7,7,7,7,7,6,7,5,3,3,5,3,4,3,3,1,7,6,6,7,6,7,6,3,2,1,5,3,3,3,2,1,5,5,6,5,4,6,5,3,2,3,5,2,3,4,2,2,2,3,6,3,2,6,5,5,6,7,7,5,3,3,4,4,7,7,6,5,4,5,3,4,1,1,1,29,"Full-time","multiracial","woman","$120,001-$140,000","MA","Thank you"
122,2.7,3.5,3.75,6,3.66666666666667,5.57142857142857,1.88888888888889,4.28571428571429,3.11111111111111,3.4,5.9,1,3,5,5,3,1,2,1,5,4,2,1,3,3,4,3,3,5,2,6,2,4,5,3,3,7,6,7,7,6,5,4,5,3,3,5,5,2,6,2,2,7,6,7,2,5,6,6,2,1,1,1,2,2,6,1,1,5,6,5,5,3,4,2,6,2,1,2,7,2,6,1,1,3,3,5,3,3,5,3,2,4,3,6,6,6,6,6,6,6,6,6,5,1,1,4,2,1,1,1,26,"Full-time","hispanic","woman","$120,001-$140,000","4yearColl","n/a"
123,2.7,3.75,4.75,6.14285714285714,2.88888888888889,6.28571428571429,2.22222222222222,4.28571428571429,1.88888888888889,4.5,4.8,2.5,2,4,3,2,3,2,2,3,3,2,4,3,4,4,4,4,3,4,4,3,5,5,4,5,7,5,6,7,6,6,6,3,2,3,2,4,2,6,2,2,7,6,6,7,6,6,6,2,2,1,2,4,2,4,2,1,4,4,6,4,4,4,4,2,2,2,2,2,2,2,1,2,4,4,4,5,3,4,5,5,5,6,5,5,5,5,4,5,5,5,5,4,3,2,2,2,1,1,1,26,"Full-time","white","woman","$40,001-$60,000","MA",""
124,2.3,4.625,4,6.28571428571429,4.22222222222222,5.85714285714286,1.88888888888889,5.42857142857143,1.88888888888889,5.3,5.2,5,2,2,2,3,1,1,1,5,1,1,3,5,5,6,5,7,3,3,5,3,6,7,2,1,6,6,6,7,6,7,6,6,3,6,6,6,2,6,1,2,6,4,6,6,6,6,7,2,2,1,1,3,2,4,1,1,6,5,6,6,4,6,5,3,2,1,2,2,1,3,1,2,4,6,7,5,1,7,5,5,6,7,6,6,5,5,6,4,6,5,6,3,5,5,2,2,1,1,1,24,"Part-time","white","woman","$40,001-$60,000","4yearColl",""
125,2.6,2.25,5.25,7,2.44444444444444,6.42857142857143,2.11111111111111,6.71428571428571,2.33333333333333,2.2,7,5,3.5,4,3,2,2,7,1,2,2,1,4,2,4,2,2,2,1,2,3,2,5,7,2,7,7,7,7,7,7,7,7,5,1,1,3,4,1,1,5,1,6,6,7,6,6,7,7,2,1,1,2,3,4,4,1,1,6,7,7,6,7,7,7,2,2,5,1,3,1,5,1,1,2,2,1,5,2,1,3,2,1,3,7,7,7,7,7,7,7,7,7,7,5,5,3,4,1,1,1,32,"Full-time","asian","man","Over $200,000","MA",""
126,1.1,3.625,7,6.28571428571429,3.55555555555556,5.85714285714286,2.55555555555556,4.42857142857143,1.22222222222222,2.8,5.5,5,1.5,1,1,1,1,1,1,1,1,1,1,2,4,3,4,3,4,4,4,3,7,7,7,7,6,5,7,6,7,6,7,4,3,4,4,4,4,4,2,3,7,4,6,6,6,6,6,4,2,1,4,3,2,4,1,2,4,4,7,4,4,4,4,2,1,1,1,1,1,2,1,1,1,2,3,2,1,4,3,2,4,6,6,6,6,6,6,6,5,7,4,3,5,5,2,1,1,1,1,41,"Full-time","white","woman","$20,001-$40,000","GED",""
127,1.8,1.375,6.5,6,1,5.14285714285714,1,6.85714285714286,1.55555555555556,1.3,7,3.5,2.5,1,1,7,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,7,7,6,6,7,4,7,7,5,7,5,1,1,1,1,1,1,1,1,1,6,3,7,4,5,5,6,1,1,1,1,1,1,1,1,1,7,6,7,7,7,7,7,2,1,2,1,1,1,4,1,1,1,1,1,1,1,1,2,2,1,2,7,7,7,7,7,7,7,7,7,7,4,3,3,2,1,1,1,46,"Full-time","white","man","$140,001-$160,000","MA",""
128,2,2.5,2.75,7,1.77777777777778,7,1.11111111111111,6.85714285714286,1,5.3,4.2,4,2.5,1,5,3,1,1,1,3,2,1,1,2,2,2,2,2,1,2,7,2,3,3,3,2,7,7,7,7,7,7,7,1,1,1,1,7,1,2,1,1,7,7,7,7,7,7,7,1,1,1,1,1,1,2,1,1,7,7,7,7,7,7,6,1,1,1,1,1,1,1,1,1,6,6,5,6,5,5,6,2,6,6,5,3,3,2,2,7,6,6,6,2,5,3,3,2,1,1,1,31,"Full-time","white","man","$80,001-$100,000","4yearColl","None."
129,4.1,1.625,3,6.85714285714286,4.11111111111111,6.28571428571429,2.55555555555556,5.28571428571429,1.77777777777778,4.2,5.7,4,2,3,4,4,5,4,3,6,3,4,6,2,2,1,1,2,2,2,1,2,2,5,2,3,7,6,7,7,7,7,7,6,2,4,6,5,6,5,2,1,7,4,7,7,6,7,6,4,1,3,4,2,4,2,2,1,4,7,7,5,4,5,5,4,2,2,1,1,2,2,1,1,3,5,5,3,4,3,4,4,6,5,6,5,5,4,5,7,6,6,7,6,4,4,2,2,1,1,1,36,"Full-time","asian","man","$100,001-$120,000","MA",""
130,2.8,1,2,7,2.66666666666667,7,2.22222222222222,6.28571428571429,3.33333333333333,2.7,6.3,4,3,4,5,2,1,1,1,7,1,1,3,6,1,1,1,1,1,1,1,1,3,3,1,1,7,7,7,7,7,7,7,1,1,1,5,2,5,7,1,1,7,7,7,7,7,7,7,1,1,1,2,6,1,6,1,1,6,7,6,6,6,6,7,5,2,1,2,6,4,6,2,2,2,2,3,1,1,1,2,3,5,7,7,6,7,6,7,7,7,7,6,3,4,4,3,3,1,1,1,31,"Full-time","white","woman","$40,001-$60,000","4yearColl",""
131,3.3,4.375,4.25,5.85714285714286,4,5.85714285714286,3.88888888888889,4.42857142857143,3.44444444444444,3.9,4.5,3,1.5,4,4,4,3,3,3,5,3,2,2,4,4,4,5,4,4,5,5,4,5,4,4,4,6,3,6,7,7,7,5,5,4,4,4,4,4,6,3,2,6,5,5,5,7,7,6,4,3,4,4,4,5,6,3,2,5,4,5,4,4,5,4,3,5,4,2,3,5,4,3,2,4,4,4,3,4,4,4,3,5,4,4,4,4,5,4,5,5,4,5,5,3,3,2,1,1,1,1,27,"Full-time","white","man","$140,001-$160,000","4yearColl",""
